"DEROG","DELINQ","CLAGE","NINQ","DEBTINC","BAD"
0,0,84.63211066,0,25.35001036,"0"
0,0,210.17306467,2,34.054811237,"0"
0,0,201.33448747,4,29.661710162,"0"
2,0,162.94515692,0,40.315396587,"0"
0,1,182.8787798,0,37.19944569,"0"
0,0,212.53764322,0,20.616783656,"0"
0,0,324.68682941,0,28.285532103,"0"
0,0,124.74559549,1,35.642270107,"0"
0,0,41.250113587,0,39.198068218,"0"
0,0,335.07414261,1,31.177261304,"0"
0,0,209.35804693,4,29.595955514,"0"
0,0,199.01192718,0,26.520049519,"0"
0,4,153.78043854,1,21.719595981,"0"
3,6,227.12990511,0,23.31951678,"1"
2,0,163.28393319,1,42.407814245,"0"
1,0,12.759267447,10,28.36185178,"0"
0,3,164.31540986,1,21.137981572,"0"
0,0,262.17542613,0,42.068268179,"0"
0,0,325.29930871,0,40.244404369,"0"
0,0,133.10154783,0,40.188123128,"0"
0,0,109.19302137,0,37.964554318,"0"
0,0,147.07716353,0,31.206129763,"0"
0,0,209.64289843,2,31.971971208,"0"
0,0,202.25079583,0,45.114319388,"0"
1,0,10.42564285,10,29.753700283,"0"
0,1,126.32864372,0,28.756345434,"0"
0,0,127.06270157,2,37.800352933,"1"
0,2,129.0777116,0,29.055433128,"0"
0,0,191.0756559,0,24.227319339,"0"
0,0,209.32631158,4,30.343448604,"0"
0,0,327.20063852,1,34.345837692,"0"
6,0,86.452226941,6,69.8005248,"1"
0,1,94.00805286,2,34.898413066,"0"
0,0,232.52729073,0,26.160494887,"0"
0,0,96.977667199,0,42.211046784,"0"
0,0,122.81558408,0,36.773458722,"0"
0,0,84.417030462,0,23.642853829,"0"
0,0,195.78086332,0,32.397593406,"1"
0,0,283.89723134,0,24.120451557,"0"
0,0,99.303700784,0,25.231366381,"0"
0,3,173.5744163,1,23.587013228,"0"
0,2,171.52648922,3,41.428597508,"1"
1,0,263.17343429,0,37.70699649,"0"
0,0,193.75474567,0,19.549571698,"0"
0,0,112.13708066,1,38.52863281,"0"
1,0,43.923382631,1,39.738576265,"0"
0,0,174.72183413,1,62.246451123,"1"
0,0,209.20630035,0,20.203517707,"0"
1,0,215.42240638,0,19.493871984,"0"
0,0,219.7356734,1,20.885093499,"0"
0,0,208.42084303,0,19.33336736,"0"
0,0,201.96083432,0,22.325828788,"0"
0,2,126.30323511,0,27.118653527,"0"
0,0,341.46505556,0,27.523246143,"0"
0,0,206.30632134,0,21.798513082,"0"
0,0,127.23414105,0,42.083901678,"0"
0,0,48.818836477,0,40.787393229,"0"
0,1,196.46499893,0,35.761604731,"0"
0,1,298.70048215,0,39.107501643,"0"
0,0,230.80558812,1,17.965883444,"0"
0,0,112.58906066,0,41.428089899,"0"
0,0,87.900118337,0,22.286997477,"0"
0,0,101.5319079,0,35.764058362,"1"
2,0,138.23477796,0,38.372460882,"1"
0,0,111.12339734,0,37.253150854,"0"
0,0,204.48458275,0,21.855494126,"0"
0,0,224.2470369,3,30.526150723,"0"
0,0,231.79991346,0,19.273579455,"0"
0,1,175.57144277,0,34.449664673,"0"
0,1,171.83838617,0,36.247963031,"0"
0,0,213.36302767,2,34.475301929,"0"
0,0,341.61057605,1,27.767299768,"0"
0,0,211.28441317,1,33.461402248,"0"
0,0,90.380409083,3,36.30952679,"0"
0,0,80.152430908,2,40.561860543,"0"
0,0,209.98629953,0,21.917952264,"0"
0,0,200.07775507,1,31.736511786,"0"
0,0,315.32145267,0,38.693655802,"0"
0,0,48.854644654,0,41.302546904,"0"
0,0,116.10008714,0,35.601894251,"0"
0,0,272.9226847,1,41.916899529,"0"
0,0,29.856365166,9,28.271474159,"0"
0,0,221.60732419,0,32.674358967,"0"
0,0,120.03346455,0,43.678746661,"0"
0,0,65.872044812,7,26.829490191,"0"
0,0,108.21718977,0,36.337557557,"0"
0,0,84.837249966,0,22.861199646,"0"
0,0,115.7635338,9,41.105568833,"1"
0,0,55.35880309,1,38.640277109,"0"
0,0,241.51424984,0,35.062675655,"0"
0,0,118.00014232,0,37.72035861,"0"
0,0,238.45882498,0,18.617288691,"0"
0,1,354.23976343,3,33.624133446,"1"
0,0,40.182134821,0,37.941253769,"0"
0,1,241.05607809,1,18.510551331,"0"
0,0,70.193890188,0,41.250706258,"1"
0,0,38.003266851,9,28.295681117,"0"
0,0,240.05677145,2,31.724698502,"0"
0,0,239.62029765,1,36.727136357,"0"
0,0,60.424760757,2,36.812290634,"0"
0,0,221.3384208,1,36.009421486,"0"
0,0,271.91816905,0,42.930043097,"0"
0,0,224.84704249,0,21.057574023,"0"
0,0,194.37214004,1,26.646083641,"0"
0,0,207.76841442,4,29.937917829,"0"
0,0,238.58630343,1,18.421369855,"0"
0,0,83.34671188,0,23.397634628,"0"
0,1,141.96214925,0,28.300245637,"0"
0,0,94.782230694,0,42.803421995,"1"
0,0,230.42025592,1,35.415112916,"0"
0,1,316.94708254,1,37.908750185,"0"
0,3,220.62498387,0,26.711536473,"0"
0,0,111.43518985,0,41.773446616,"0"
1,0,228.03600011,0,30.162214113,"1"
1,0,155.39196223,1,41.600983364,"0"
0,0,47.832851338,3,33.075010372,"0"
0,0,56.750113136,2,30.538906969,"0"
0,0,286.9228238,0,23.06292573,"0"
3,6,234.90075082,0,24.662276673,"1"
0,0,227.29208976,0,24.091770363,"0"
0,0,60.503625209,2,39.280512379,"0"
0,0,243.15711917,1,23.992353351,"0"
0,0,87.452870081,2,37.005967843,"0"
0,1,92.941357816,2,35.672273609,"0"
0,0,249.63376067,2,34.882066439,"0"
0,0,180.16893732,0,35.583403169,"0"
0,0,135.64019635,0,34.777089425,"0"
0,0,265.02047536,1,43.300105312,"0"
0,0,180.41578673,0,21.72081838,"0"
0,0,187.19401123,0,24.217658483,"0"
0,0,141.26867109,0,31.68194302,"0"
0,0,17.460749903,10,30.233504742,"0"
0,0,353.19562851,0,28.544528867,"0"
0,0,56.609906288,0,40.499820445,"0"
0,0,179.24093557,0,27.23109397,"0"
0,0,44.629591574,2,21.271785371,"1"
0,1,106.63134156,2,37.02476444,"0"
0,2,114.51215796,3,37.929273869,"0"
0,0,235.4853772,0,34.423248847,"0"
0,0,100.42833098,0,42.807341953,"0"
0,0,105.08759384,0,36.70541274,"0"
0,0,231.0011955,0,35.906115846,"0"
0,0,262.01435765,2,38.983938486,"0"
0,0,295.11342067,0,23.245673006,"0"
0,0,220.80244426,2,31.827626823,"0"
0,0,95.676872691,0,36.97971203,"1"
1,0,110.07185689,1,25.409016713,"0"
0,0,185.62159231,0,32.285724089,"0"
0,0,87.603462439,0,31.850563903,"0"
0,0,192.1211081,0,35.586051528,"0"
0,0,59.081541425,0,41.077878217,"0"
0,0,55.873860215,0,38.375091295,"0"
0,0,116.30949336,0,35.429796579,"0"
0,0,184.39002923,0,37.836714873,"0"
2,0,80.778941503,10,44.858977324,"1"
0,0,332.64504738,1,35.311552628,"0"
0,0,203.54460997,1,31.491686795,"0"
0,0,258.19457767,3,41.246612634,"0"
0,0,203.9971364,0,23.562565007,"0"
0,0,52.59326412,2,32.160922592,"0"
0,0,119.06692204,0,33.361586301,"0"
0,0,138.51160087,0,39.735448824,"0"
0,3,129.3624659,0,47.000975215,"1"
0,0,79.458845053,2,31.276715679,"1"
0,0,99.993789825,3,38.873711304,"0"
0,3,151.81738872,0,26.457524449,"1"
0,0,330.17485564,1,35.362686394,"0"
0,1,130.76703495,0,29.381985445,"0"
0,0,223.20298954,2,30.913395837,"0"
0,0,53.935137714,0,37.703911499,"0"
0,0,207.94046872,4,31.329651718,"0"
0,0,75.635047684,0,24.545192137,"0"
0,0,340.7444307,2,36.205114552,"0"
0,0,66.294570391,8,26.046469422,"0"
0,0,296.74709479,1,38.820940293,"0"
0,0,118.46850599,0,32.716777591,"0"
0,0,78.360087635,0,22.375341167,"0"
0,0,225.6909893,0,30.398005095,"0"
0,0,184.19341758,0,32.396509487,"0"
0,1,82.335287775,1,20.342467722,"1"
0,0,121.41114886,0,35.073918357,"0"
0,0,188.41982641,0,24.865567185,"0"
1,0,294.60276683,2,32.385956174,"0"
0,0,130.64393328,0,37.393526416,"1"
1,0,27.048834712,10,29.287956831,"0"
0,0,99.598169948,2,38.910150834,"0"
0,0,268.25460165,0,22.232952814,"0"
0,0,296.9016386,1,33.632136517,"0"
0,0,219.56581251,0,24.63662135,"0"
0,1,176.33454149,0,34.55205243,"0"
0,0,235.36324945,0,35.636720346,"0"
0,0,138.15481817,0,40.337860758,"0"
0,1,86.545727017,0,24.697430423,"0"
0,0,114.98197436,0,41.098025151,"0"
0,3,220.81329019,0,24.380092654,"0"
0,2,118.39735837,2,34.71164955,"0"
0,0,49.146922298,1,40.792589704,"0"
0,0,341.8553472,1,29.869576644,"0"
0,0,196.72416054,0,34.745743152,"0"
0,0,123.28602489,0,35.875343986,"0"
0,0,60.384862517,1,39.72610514,"0"
0,0,305.88808215,2,33.718613864,"0"
0,0,104.39650664,0,36.912310875,"0"
0,0,108.47902378,3,41.270682597,"1"
0,0,81.354795297,1,38.4757705,"0"
0,0,69.617174882,1,37.805432649,"0"
0,4,214.14450966,0,27.459144234,"0"
0,0,178.68792754,0,36.601698856,"0"
0,0,267.91864156,0,21.929990488,"0"
0,0,156.59370755,0,33.337118756,"0"
0,0,86.296515758,2,41.426872232,"0"
0,1,230.84886345,1,35.88829101,"0"
0,0,320.23488221,1,40.015070568,"0"
0,0,96.176673144,0,36.210351332,"0"
0,0,147.94164245,1,31.959227235,"0"
0,0,130.7309108,0,42.358059882,"0"
0,0,221.47492481,0,25.194297211,"0"
0,0,90.653070126,0,31.360821946,"0"
0,0,130.25632943,0,36.50599948,"0"
0,0,58.560174005,3,38.974293529,"0"
0,0,242.81896695,1,37.966606016,"0"
0,0,173.19132242,0,26.266815752,"0"
0,0,246.93475819,1,18.156826624,"0"
0,1,294.16422462,0,38.641804544,"0"
0,0,203.24296532,1,31.217709755,"0"
0,3,206.35456436,0,26.054853712,"0"
0,0,350.56813617,1,28.91075714,"0"
0,0,326.34280468,1,40.588576066,"0"
0,2,131.47138261,0,29.200400339,"0"
0,0,202.70454037,0,33.592318942,"0"
0,0,98.672705089,2,26.308380329,"0"
0,1,311.75718243,1,40.912736994,"0"
0,1,123.7385166,0,26.932707601,"0"
0,0,183.09274953,0,23.097201883,"0"
0,0,210.58001479,1,32.571867291,"0"
0,0,56.30976479,8,23.521188257,"0"
0,0,118.63539467,0,27.09304112,"0"
1,4,326.67959049,0,38.191681736,"1"
0,0,125.71032467,0,37.622785545,"0"
0,0,214.44323,1,31.24524851,"1"
1,1,291.62037844,0,39.003140628,"0"
0,0,209.49409472,1,29.96408198,"0"
0,0,169.94538773,1,35.312710478,"0"
0,0,70.934880772,3,40.309041225,"0"
0,0,171.21281473,0,35.158702571,"0"
0,0,222.21119026,1,34.729698093,"0"
0,0,264.40802314,3,37.976757922,"0"
0,0,189.94689772,0,29.202476735,"0"
0,0,190.06187015,0,38.375406098,"0"
0,0,320.34954262,1,30.199399523,"0"
0,0,202.95427654,1,34.828647504,"0"
0,0,116.86344909,0,30.05290208,"0"
0,0,350.7763043,1,28.584515556,"0"
0,0,315.70739138,1,41.077590657,"0"
0,2,73.469630013,3,40.929793264,"1"
0,2,123.36535633,0,28.111813831,"0"
0,0,123.61880309,1,35.759083852,"0"
0,0,114.55258227,0,30.082488981,"0"
0,0,89.555852767,0,32.530256646,"0"
0,0,308.65011743,2,32.553976104,"0"
0,0,199.29314197,0,28.434342078,"0"
0,0,100.61642113,2,38.436490085,"1"
0,0,115.19332144,1,33.837202699,"0"
0,0,120.57263313,0,40.925910594,"0"
0,0,233.17160046,3,39.775087851,"0"
0,0,87.845310974,3,41.75352499,"0"
0,0,238.70268339,0,25.887319897,"0"
0,0,352.65827116,0,28.196714905,"0"
1,0,223.32646239,0,34.927866116,"0"
0,0,189.76806013,0,26.754411554,"0"
0,1,174.55712019,0,34.386230664,"0"
0,0,172.55155504,1,43.875610821,"1"
0,0,318.14927755,1,42.276634205,"0"
0,0,163.29885985,0,31.925766549,"0"
0,0,72.916721072,2,39.660408739,"0"
0,0,213.30288482,1,32.876458514,"0"
0,0,196.24907,1,28.787922854,"0"
0,0,172.16656274,0,25.043436747,"0"
0,1,91.446465165,3,38.590366936,"0"
0,0,240.43728186,3,37.897480893,"0"
0,0,187.58057031,0,26.367134137,"0"
0,0,211.26878022,3,30.201509456,"0"
0,0,321.2748292,0,32.280313622,"0"
0,0,68.854877174,2,38.217725784,"0"
0,0,219.08523561,0,23.808894154,"0"
0,0,221.55154133,1,16.378412953,"0"
0,0,106.85542816,0,31.891314262,"1"
0,0,139.26403364,0,33.578035539,"0"
1,1,218.9062534,0,34.058146802,"0"
0,0,138.09123004,1,38.729710894,"0"
0,0,209.5214385,4,32.743007077,"0"
0,0,98.028870439,2,26.620897734,"0"
0,0,350.52840986,1,29.6623601,"0"
0,0,259.6838134,3,39.829999465,"0"
0,0,181.8697515,0,37.879278335,"0"
0,0,105.10225507,0,36.44893885,"0"
0,0,252.84392821,1,17.414859614,"0"
0,0,277.58958861,3,39.885483806,"0"
0,0,53.767621524,1,35.932025066,"0"
0,0,104.69282515,1,38.326728213,"0"
0,0,110.72312997,0,28.289429173,"0"
0,0,80.822479691,1,16.883031014,"1"
0,0,74.449294767,3,25.34174093,"1"
0,0,99.76441458,3,40.345260733,"0"
0,0,338.77674581,1,28.439716511,"0"
0,0,276.84193488,0,24.198678371,"0"
0,0,184.62596594,0,27.701649739,"0"
0,0,279.87655021,0,38.513997448,"0"
0,0,322.73119571,2,33.788523674,"0"
0,0,159.43269808,0,34.3711489,"0"
0,0,162.19648426,1,32.612662762,"0"
0,0,243.93599625,1,36.793237169,"0"
0,0,68.890096166,3,37.773300594,"1"
0,0,102.24646959,2,26.206409952,"0"
0,0,39.221719253,0,35.788437459,"1"
0,2,70.884144094,0,34.702330738,"1"
0,0,85.574865756,4,34.756560384,"1"
0,0,144.03700388,0,33.908465844,"0"
0,0,75.388551244,1,30.498005118,"0"
0,0,126.30983495,0,33.75846632,"0"
0,0,121.1996495,2,37.390239889,"0"
5,2,113.25750907,5,27.34759661,"1"
0,0,359.33227239,1,29.671390341,"0"
0,0,127.7869696,0,35.734056816,"0"
0,0,277.7556619,2,39.387317549,"0"
0,1,137.78400363,0,28.454712858,"1"
0,0,266.38379937,0,23.703067187,"0"
0,1,118.69951614,2,36.686882044,"0"
0,0,80.251800985,0,34.144725947,"1"
0,0,210.28268954,0,32.424293056,"0"
0,2,122.38915525,3,36.681652146,"1"
0,0,126.74508707,0,33.987846976,"0"
0,0,61.000985499,1,35.930610888,"0"
0,0,101.28118497,1,27.189212901,"0"
0,0,106.50053701,3,40.084175502,"0"
0,0,333.01158975,1,30.39545792,"0"
0,0,89.644833421,0,36.302409222,"0"
0,1,115.75209332,3,37.479410286,"1"
1,1,228.39633986,1,35.181840743,"0"
0,0,109.53563552,7,23.082905342,"1"
0,0,28.100520363,9,27.520682167,"0"
0,2,131.19349603,0,26.090418913,"0"
0,0,93.853460687,3,39.466330333,"0"
0,0,92.078978775,3,40.58208394,"0"
0,0,92.111504281,0,28.167074697,"0"
0,1,246.09510911,1,37.470923376,"0"
0,0,206.79736096,1,32.391146387,"0"
0,0,130.3767882,1,39.112150358,"0"
0,1,224.88223202,2,35.629354389,"0"
1,0,0.4867114508,9,27.075256643,"0"
0,0,105.65520523,0,29.007207774,"0"
0,0,122.22853426,1,32.657628893,"0"
0,1,116.41879645,2,36.625629459,"0"
0,4,219.65713104,0,27.617063425,"0"
0,0,217.32115468,0,28.749890366,"0"
0,0,63.43088731,2,39.38611808,"0"
0,0,99.774527119,0,34.514635071,"0"
0,0,235.49281298,0,23.137840556,"0"
0,0,235.9462106,0,17.875259065,"0"
1,0,308.3394397,2,31.553835409,"0"
0,0,138.33735213,0,42.48370297,"0"
0,0,102.16302743,2,40.794635454,"0"
0,0,100.05186621,0,38.444317985,"0"
0,1,243.8307278,1,35.968280746,"0"
0,0,196.0146349,0,30.731571704,"0"
0,0,41.807204596,1,26.956697896,"1"
0,0,308.34033176,2,33.635525403,"0"
0,0,278.1604735,3,40.82354171,"0"
0,0,91.932632264,0,29.633608474,"1"
0,2,136.08002985,0,29.686670844,"0"
0,1,189.91991824,1,37.086455086,"0"
0,0,177.70280043,0,37.35868805,"0"
0,0,102.27267659,0,37.269131082,"0"
0,0,129.50848379,0,35.734592764,"0"
1,0,148.84473761,3,36.080031774,"1"
0,0,104.11336317,2,39.54184797,"0"
0,0,141.93115618,0,32.327495049,"0"
0,0,338.62903535,1,34.169513676,"0"
0,0,350.6390057,0,30.061371367,"0"
0,0,194.61421604,0,39.000064863,"0"
0,0,146.63284161,0,34.300201816,"0"
0,2,117.17100444,2,35.611943876,"0"
0,1,171.67981114,0,34.813468594,"0"
0,0,226.08880709,0,35.463386978,"0"
0,0,75.862659733,3,39.403812388,"0"
2,0,244.11665292,2,33.374570631,"0"
0,0,328.17812369,2,34.150319383,"0"
0,0,65.876586717,1,38.108000987,"0"
0,0,202.69796289,0,35.530613427,"0"
0,0,129.11372481,1,36.349974603,"0"
0,0,276.78774402,3,37.821851509,"0"
0,0,245.08365185,0,17.176900657,"0"
0,0,128.07164796,0,35.033371132,"0"
0,2,182.6166394,2,37.337977192,"0"
0,0,83.333291772,0,25.343478449,"1"
0,0,177.05003605,0,33.43055804,"0"
0,0,69.229369351,1,29.160127076,"0"
0,0,115.5749709,1,39.050394794,"0"
0,0,78.02555168,0,31.418132394,"0"
0,0,222.0095049,0,19.551242992,"0"
0,4,223.10391402,0,26.141178049,"0"
0,0,241.58177936,0,38.208667839,"0"
0,0,98.99850784,0,36.888436373,"0"
0,0,114.4929085,1,25.07515295,"0"
0,0,89.102838608,0,31.353906936,"1"
0,0,189.58907467,0,37.95298991,"0"
0,2,86.431831744,2,36.260331272,"0"
0,0,82.71313688,0,30.931517996,"0"
0,0,120.64455858,0,35.98492935,"0"
0,0,180.28406155,0,37.950787581,"0"
0,1,176.4674623,0,34.234789575,"0"
1,4,354.65022495,0,36.525172928,"1"
0,0,356.45017827,0,36.554268317,"0"
0,4,227.56368402,0,24.016769941,"0"
0,3,219.7420453,0,25.439463543,"0"
0,0,171.05844903,1,38.005289312,"0"
0,0,93.432844102,0,37.982353508,"0"
0,1,83.066750905,0,38.454300022,"0"
0,0,182.80351445,0,33.481910133,"0"
0,1,226.45215948,0,35.555922893,"0"
0,0,94.987922191,0,25.161183475,"0"
0,0,246.19523933,0,20.743364711,"0"
0,0,81.229448637,0,29.037574223,"0"
0,0,75.584542581,3,36.709538909,"0"
0,2,194.42471787,2,36.95089224,"0"
0,0,368.07092408,0,36.573169598,"0"
0,0,308.99557574,1,41.414280651,"0"
0,0,141.43307599,1,36.795013963,"0"
0,0,89.83593974,0,32.4314097,"0"
0,0,102.16551363,0,37.034875874,"0"
0,0,239.03820584,1,38.867248989,"0"
0,0,106.58945227,2,26.896012771,"0"
2,1,359.1044913,1,16.87198276,"0"
0,0,156.4821057,0,67.32490355,"1"
0,0,314.73283271,1,34.170403536,"0"
0,1,81.461400461,0,27.705856544,"0"
0,0,124.02162504,0,32.565686372,"0"
0,0,276.73420174,0,22.291249185,"0"
0,0,70.853327642,2,35.8789883,"0"
0,0,240.94299363,1,19.332810029,"0"
0,0,152.14012571,0,32.188760518,"0"
0,1,76.392416053,1,37.32134756,"0"
0,0,182.99480622,2,29.713466905,"0"
0,0,132.75248959,0,37.588199542,"0"
3,1,242.38901624,1,34.690361253,"0"
0,0,229.51274114,1,37.923088094,"0"
0,1,106.88889374,3,36.618660862,"0"
0,1,230.30325656,0,23.773610404,"0"
0,1,142.19345794,0,31.469937398,"0"
0,0,83.835338491,2,37.434615355,"0"
0,0,101.47266767,2,36.878297002,"0"
0,1,122.70553687,0,28.896101856,"0"
0,0,258.33461797,2,36.035712866,"0"
0,0,171.41365835,0,25.621650412,"0"
0,0,32.41493353,2,39.37186986,"0"
0,1,91.141218712,0,38.657640295,"0"
0,0,85.900936244,1,26.331619061,"0"
0,0,176.36783901,3,53.178911112,"1"
0,0,239.43363997,1,38.473075274,"0"
0,0,229.5228444,1,37.297432095,"0"
0,1,90.957899517,0,27.35463407,"0"
0,0,51.648705242,0,28.622632092,"1"
0,0,107.33302454,0,33.524879599,"0"
0,0,111.53162529,1,37.588195648,"0"
0,0,256.68058385,0,24.496286322,"0"
0,0,130.76638619,0,25.622610897,"0"
2,0,94.805235749,0,38.211305102,"1"
0,0,85.801476116,2,24.594992574,"0"
0,0,210.43553362,0,25.042108535,"0"
0,0,126.93937738,1,27.992051659,"0"
0,0,246.09476485,0,17.257117147,"0"
0,0,133.36579062,0,33.591716314,"0"
0,0,203.02399137,0,34.553305392,"0"
0,0,244.36524652,0,25.003965494,"0"
1,0,145.76577376,0,24.605128805,"1"
0,0,60.634469798,1,31.688134282,"0"
0,2,288.39505854,1,30.776027864,"1"
0,0,319.65197133,1,35.769425427,"0"
0,0,144.42288892,0,31.539013395,"1"
0,0,237.6478941,0,42.335573512,"0"
2,0,309.26449746,2,34.487188041,"0"
0,0,341.94497562,2,35.248897631,"0"
0,0,157.24366245,1,31.626821934,"0"
0,1,139.93899893,0,31.333684784,"0"
0,1,337.6899717,0,41.447505948,"0"
0,1,104.69524068,3,39.049359218,"0"
0,1,421.36287218,1,30.606998702,"0"
0,0,207.61730644,3,38.867949083,"0"
0,1,160.6678931,0,33.920044393,"0"
0,0,84.123450947,0,31.267318776,"0"
0,0,123.16918276,0,27.84508378,"0"
0,1,234.59177844,0,36.594664037,"0"
0,0,219.38527843,2,40.75164798,"0"
0,0,67.38706567,0,35.690193036,"0"
1,1,203.69956292,3,37.669305127,"0"
0,0,131.40418009,0,28.443810481,"0"
0,0,73.160447708,1,38.331255722,"0"
0,0,66.357590464,2,35.2377013,"0"
0,4,220.7609123,0,24.01951269,"0"
0,3,189.92452243,1,34.61045543,"0"
