"","DELINQ","DEROG","NINQ","CLAGE","BAD","DEBTINC"
"164",0,0,3,74.633333333,"1",NA
"165",1,0,3,335.03333333,"1",NA
"166",1,1,1,194.84216401,"1",NA
"167",1,1,1,174.32656084,"1",NA
"168",0,0,2,125.96666667,"0",NA
"169",1,0,1,300.36666667,"0",NA
"170",0,0,0,182.63333333,"0",NA
"171",1,1,1,179.83333333,"0",NA
"172",0,0,1,276.96666667,"0",NA
"173",1,1,1,234.02181639,"0",NA
"174",0,0,1,266.8,"0",NA
"175",1,1,1,146.29617189,"0",NA
"176",0,0,0,51.766666667,"0",NA
"177",3,0,10,107.13333333,"1",NA
"178",0,0,3,51.766666667,"0",NA
"179",0,0,1,219.13333333,"0",NA
"180",6,3,0,228.3,"1",NA
"181",0,0,1,133.9,"1",NA
"182",3,5,5,122.76666667,"1",NA
"183",0,0,0,131.86666667,"1",NA
"184",1,0,0,82.133333333,"1",NA
"185",0,1,1,222.2,"1",NA
"186",2,3,1,163.36666667,"1",NA
"187",2,1,2,144.06666667,"1",NA
"188",1,1,1,178.6925087,"0",26.448197463
"189",0,0,0,97.1,"1",NA
"190",0,0,2,120.67506316,"0",37.512708409
"191",0,0,0,148.72040469,"0",36.669278612
"192",1,0,0,69.107465597,"0",35.025072968
"193",2,1,0,148.34064549,"1",46.489874001
"194",0,0,0,257.6522064,"0",40.952588884
"195",0,0,0,125.13062556,"0",42.183538672
"196",0,0,0,127.49881344,"0",40.308259362
"197",0,0,1,177.95825512,"0",26.257970132
"198",0,1,0,273.88170516,"0",39.852146515
"199",0,0,0,69,"1",NA
"200",0,0,0,258.78929762,"0",26.722343337
"201",0,0,0,181.66304016,"0",25.444759149
"202",0,0,1,277.94456081,"0",23.644691283
"203",0,0,0,21.2,"1",NA
"204",0,1,2,417.63333333,"0",NA
"205",2,1,2,86.233333333,"1",NA
"206",0,1,0,157.85980209,"1",25.650741224
"207",0,2,0,290.03410799,"0",38.766985071
"208",0,0,1,125.78740011,"0",34.446079222
"209",0,0,2,121.0759726,"0",36.401729548
"210",0,0,0,108.07259081,"0",43.290139816
"211",0,0,1,266.81346457,"0",23.797401058
"212",1,0,0,119.7,"0",NA
"213",1,0,1,184.29668729,"0",24.414763177
"214",0,1,10,17.2,"0",NA
"215",1,0,1,81.1,"1",NA
"216",0,0,1,123.76666667,"0",NA
"217",0,0,0,221.11808171,"0",42.712093844
"218",0,0,1,157.77103572,"1",72.670433313
"219",0,0,2,221.60848575,"0",30.37854757
"220",1,1,1,234.02181639,"0",19.131201179
"221",0,1,1,175.32870382,"0",40.442570389
"222",0,0,0,302.35870946,"1",39.196985402
"223",0,0,0,174.32656084,"0",12.043670576
"224",1,0,1,184.74276716,"0",27.906122726
"225",0,1,0,98.333333333,"1",NA
"226",0,0,1,124.1821788,"0",34.599060194
"227",0,0,1,109.93390789,"0",35.8385427
"228",1,0,0,212.89174607,"0",38.591494028
"229",1,1,1,297.9070847,"0",28.423961906
"230",0,0,0,208.16271401,"0",19.762113701
"231",0,0,0,197.24195728,"0",19.350505633
"232",0,0,0,69.542430107,"0",36.480236299
"233",0,0,0,40.709849004,"0",37.848771035
"234",1,0,1,189.03430464,"0",24.701136262
"235",0,0,0,95.6,"1",NA
"236",1,0,1,199.9,"1",NA
"237",0,0,1,185.07634726,"0",26.354889295
"238",0,0,0,136.63294416,"0",32.05002349
"239",0,0,0,122.9402886,"0",44.092325682
"240",1,1,1,398.8,"0",23.163742947
"241",0,0,3,102.5,"1",NA
"242",0,0,0,78.452125766,"0",35.763637997
"243",1,0,0,116.59197688,"0",37.612682724
"244",1,1,1,84.417030462,"0",35.272073735
"245",0,0,2,55.558049044,"0",31.375542416
"246",0,0,0,189.29531847,"0",20.654128896
"247",3,0,3,153.93333333,"1",NA
"248",1,1,1,297.9070847,"1",NA
"249",0,0,4,216.13333333,"0",NA
"250",2,3,3,130.8,"1",NA
"251",1,0,1,167.36666667,"1",NA
"252",0,0,1,187.02051879,"0",27.646748505
"253",0,0,1,186.42441602,"0",28.417530896
"254",1,1,1,114.96849873,"0",20.679313582
"255",0,2,0,158.5344979,"0",43.404430238
"256",1,0,0,136.32063746,"1",34.494708965
"257",1,0,0,82.294266354,"1",36.986744097
"258",2,0,0,48.995845002,"1",33.126483967
"259",0,0,0,43.722336946,"0",41.452043532
"260",0,2,0,150.86584513,"0",40.442567785
"261",0,0,1,172.21327665,"1",32.676640875
"262",0,0,0,206.09913412,"0",18.369540527
"263",0,0,1,200.41843402,"0",22.841092848
"264",0,0,0,180.56306914,"0",21.554949656
"265",0,0,0,91.683770634,"0",37.773350976
"266",1,1,0,204.06666667,"1",NA
"267",1,1,1,148.13333333,"1",NA
"268",1,1,1,181.32298993,"0",24.651395744
"269",0,0,0,204.33524504,"0",42.397769638
"270",0,0,0,117.49959288,"0",38.750562668
"271",1,1,1,84.417030462,"0",24.274865275
"272",0,0,0,212.53911509,"0",21.258026878
"273",0,0,0,128.47645151,"0",37.85968784
"274",0,0,0,181.28295679,"0",24.339533569
"275",0,0,0,69.645660473,"0",41.185039558
"276",0,1,10,21.799352154,"0",29.439664242
"277",0,0,3,210.34747857,"0",31.243408701
"278",0,0,1,95.9,"1",NA
"279",0,0,2,177.5,"1",NA
"280",0,0,0,104.4,"1",NA
"281",0,0,1,97.133170952,"1",41.777888631
"282",0,0,0,117.6739652,"0",42.464866285
"283",0,0,0,92.643084556,"0",41.21001247
"284",0,0,0,272.22062826,"0",39.896104618
"285",0,0,0,157.00977472,"1",47.415228659
"286",0,1,9,15.396587392,"0",30.017013296
"287",1,1,1,105.74964198,"0",33.850461221
"288",0,0,0,48.853667057,"0",38.773685963
"289",0,0,1,266.55339438,"0",43.309764541
"290",0,0,0,261.40521864,"0",42.191941556
"291",0,0,1,300.4872058,"0",38.940575356
"292",1,0,1,307.9748816,"0",39.959108765
"293",0,0,1,83.289062746,"1",30.187805389
"294",0,0,0,126.40098356,"0",43.20775979
"295",1,1,1,105.74964198,"0",34.174055545
"296",0,0,0,71.766557161,"0",41.287423388
"297",0,0,0,80.131746414,"0",24.140153667
"298",1,2,1,36.766666667,"1",NA
"299",0,0,0,120.37941429,"0",41.442500462
"300",0,0,1,238.6,"1",NA
"301",0,0,0,234.02181639,"0",12.749180645
"302",1,1,1,174.32656084,"0",27.595273523
"303",2,0,3,157.96001139,"1",40.628278175
"304",1,0,0,118.44249103,"0",40.110407425
"305",1,1,1,297.9070847,"0",32.782926828
"306",6,0,4,250.56666667,"1",NA
"307",1,1,1,248.48194525,"0",32.977197226
"308",0,0,1,149.0229081,"0",37.954336913
"309",1,2,4,154.13333333,"1",NA
"310",1,0,8,116.1,"1",NA
"311",3,1,1,69.3,"1",NA
"312",2,0,0,122.76666667,"1",NA
"313",0,0,1,140.93333333,"1",NA
"314",0,0,2,90,"1",NA
"315",0,0,1,51.733333333,"1",NA
"316",1,0,3,136.3,"1",NA
"317",0,0,3,83.333333333,"1",NA
"318",1,0,5,218.6,"1",NA
"319",0,0,1,343.9,"0",NA
"320",0,1,1,101.5,"0",NA
"321",2,0,3,105.4,"0",NA
"322",0,0,2,226.91430725,"0",29.220351072
"323",1,0,0,179.56666667,"0",NA
"324",0,0,2,222.16666667,"0",NA
"325",2,0,0,122.73333333,"0",NA
"326",1,1,1,100.93333333,"0",NA
"327",0,0,1,321.63333333,"0",NA
"328",4,0,0,101.4,"1",NA
"329",3,0,0,119.7,"1",NA
"330",0,6,6,90.3,"1",NA
"331",2,1,1,129.9,"1",NA
"332",0,0,0,181.69653802,"0",37.289989924
"333",0,0,0,234.02181639,"0",15.174415003
"334",1,1,1,194.84216401,"1",21.935498813
"335",0,0,0,213.53333333,"0",NA
"336",4,0,2,111.3,"0",NA
"337",1,1,1,297.9070847,"0",NA
"338",0,0,1,129.25008957,"0",36.746766237
"339",0,0,0,70.69532973,"0",24.76674453
"340",1,0,1,303,"0",NA
"341",0,0,1,138.64686318,"1",31.757270694
"342",1,1,1,178.48960216,"0",26.72002818
"343",0,1,0,153.0667831,"0",40.15052706
"344",0,0,0,350.43613755,"0",28.848276581
"345",1,0,0,122.60405287,"0",13.306013076
"346",1,1,1,84.417030462,"0",28.925117417
"347",1,1,1,398.8,"0",28.876463055
"348",0,0,0,122.24494502,"0",32.552543335
"349",0,0,0,135.10893025,"0",39.783818126
"350",1,1,1,297.9070847,"0",34.517404516
"351",0,0,0,84.63211066,"0",25.35001036
"352",0,0,2,210.17306467,"0",34.054811237
"353",0,0,4,201.33448747,"0",29.661710162
"354",1,0,1,293.95872355,"0",30.197630728
"355",1,1,2,80.5,"1",NA
"356",1,1,1,146.29617189,"0",25.375544161
"357",1,0,1,164.8,"1",NA
"358",0,2,0,162.94515692,"0",40.315396587
"359",1,0,0,182.8787798,"0",37.19944569
"360",1,0,0,63.117023228,"0",36.538747338
"361",1,1,1,122.60405287,"0",27.167655962
"362",1,1,1,218.53926573,"0",12.324707091
"363",0,0,0,212.53764322,"0",20.616783656
"364",0,0,0,324.68682941,"0",28.285532103
"365",0,0,0,101.16706032,"0",38.675140153
"366",0,0,1,124.74559549,"0",35.642270107
"367",0,0,0,130.06666667,"0",NA
"368",0,0,0,41.250113587,"0",39.198068218
"369",0,0,0,63.626413251,"0",33.111829109
"370",1,0,1,294.47804756,"0",31.447750409
"371",0,0,1,335.07414261,"0",31.177261304
"372",0,0,0,120.73333333,"1",NA
"373",0,2,1,84,"1",NA
"374",0,0,4,209.35804693,"0",29.595955514
"375",0,0,0,199.01192718,"0",26.520049519
"376",4,0,1,153.78043854,"0",21.719595981
"377",4,0,1,111.20651324,"0",38.577131937
"378",1,1,1,297.9070847,"0",29.835960721
"379",6,3,0,227.12990511,"1",23.31951678
"380",0,2,1,163.28393319,"0",42.407814245
"381",0,1,10,12.759267447,"0",28.36185178
"382",2,0,4,128,"1",NA
"383",1,0,1,419.3751538,"0",42.244927573
"384",1,1,1,105.74964198,"0",22.055034214
"385",0,0,0,104.79246836,"0",36.416886965
"386",3,0,1,164.31540986,"0",21.137981572
"387",0,0,0,262.17542613,"0",42.068268179
"388",0,0,0,325.29930871,"0",40.244404369
"389",1,0,0,213.8321032,"0",40.64461955
"390",0,0,0,133.10154783,"0",40.188123128
"391",0,0,0,109.19302137,"0",37.964554318
"392",0,0,0,147.07716353,"0",31.206129763
"393",1,1,1,177.59135402,"0",26.1209597
"394",0,0,2,209.64289843,"0",31.971971208
"395",0,1,1,101.39144532,"0",36.602947343
"396",0,0,0,202.25079583,"0",45.114319388
"397",0,1,10,10.42564285,"0",29.753700283
"398",1,0,0,126.32864372,"0",28.756345434
"399",1,1,1,180.84124987,"0",27.839006664
"400",4,0,1,333.23089989,"0",29.011980578
"401",0,0,2,127.06270157,"1",37.800352933
"402",1,1,1,146.29617189,"0",30.531264536
"403",2,0,0,129.0777116,"0",29.055433128
"404",0,0,0,191.0756559,"0",24.227319339
"405",1,1,1,84.417030462,"0",29.198860669
"406",0,0,4,209.32631158,"0",30.343448604
"407",5,2,1,115.36666667,"1",NA
"408",0,1,6,97.299756098,"1",NA
"409",0,0,0,224.86666667,"1",NA
"410",0,0,2,110.56666667,"0",NA
"411",0,0,2,332.73333333,"0",NA
"412",0,0,1,234.4,"0",NA
"413",0,0,2,54.766666667,"0",NA
"414",0,0,1,242.46666667,"0",NA
"415",0,0,2,475.8,"1",NA
"416",0,0,1,327.20063852,"0",34.345837692
"417",1,1,1,114.96849873,"0",23.47088075
"418",0,6,6,86.452226941,"1",69.8005248
"419",1,0,2,94.00805286,"0",34.898413066
"420",0,0,0,232.52729073,"0",26.160494887
"421",1,1,1,114.96849873,"0",20.028353505
"422",0,0,0,248.48194525,"0",12.219436152
"423",0,0,0,96.977667199,"0",42.211046784
"424",0,0,9,117.16666667,"1",NA
"425",1,1,1,179.80086812,"0",27.532376107
"426",0,0,0,122.81558408,"0",36.773458722
"427",0,0,0,84.417030462,"0",14.845990728
"428",0,1,2,423.20962409,"0",40.957090317
"429",1,1,1,146.29617189,"0",15.703991562
"430",0,0,0,84.417030462,"0",23.642853829
"431",0,0,0,195.78086332,"1",32.397593406
"432",0,0,0,283.89723134,"0",24.120451557
"433",0,0,0,99.303700784,"0",25.231366381
"434",3,0,1,173.5744163,"0",23.587013228
"435",2,0,3,171.52648922,"1",41.428597508
"436",1,1,1,146.29617189,"1",40.894931701
"437",0,1,0,263.17343429,"0",37.70699649
"438",0,0,0,193.75474567,"0",19.549571698
"439",0,1,1,108.35174747,"0",38.894194746
"440",0,0,1,112.13708066,"0",38.52863281
"441",0,1,1,43.923382631,"0",39.738576265
"442",0,0,1,174.72183413,"1",62.246451123
"443",0,0,0,209.20630035,"0",20.203517707
"444",0,1,0,215.42240638,"0",19.493871984
"445",0,0,1,219.7356734,"0",20.885093499
"446",0,0,0,208.42084303,"0",19.33336736
"447",4,0,3,116.6327333,"0",39.215028911
"448",1,1,1,105.74964198,"0",18.927211638
"449",0,0,0,201.96083432,"0",22.325828788
"450",2,0,0,126.30323511,"0",27.118653527
"451",0,0,0,341.46505556,"0",27.523246143
"452",0,1,2,106.26666667,"1",NA
"453",1,0,3,94.333333333,"0",NA
"454",0,0,0,206.30632134,"0",21.798513082
"455",0,1,1,2.0333333333,"1",NA
"456",0,0,0,127.23414105,"0",42.083901678
"457",0,0,0,48.818836477,"0",40.787393229
"458",1,0,0,196.46499893,"0",35.761604731
"459",1,0,0,298.70048215,"0",39.107501643
"460",0,0,1,230.80558812,"0",17.965883444
"461",0,0,0,112.58906066,"0",41.428089899
"462",0,0,0,87.900118337,"0",22.286997477
"463",0,0,0,101.5319079,"1",35.764058362
"464",2,0,1,67.8,"1",NA
"465",0,2,0,138.23477796,"1",38.372460882
"466",0,0,2,122.26666667,"1",NA
"467",0,0,0,111.12339734,"0",37.253150854
"468",0,0,8,61.9,"0",NA
"469",1,1,1,218.53926573,"0",14.370985949
"470",3,0,2,105.82732904,"0",40.717668846
"471",0,0,0,204.48458275,"0",21.855494126
"472",0,0,3,224.2470369,"0",30.526150723
"473",4,0,1,311.86989931,"0",30.790620774
"474",1,0,1,421.541928,"0",40.828872934
"475",0,0,0,231.79991346,"0",19.273579455
"476",1,0,0,175.57144277,"0",34.449664673
"477",1,1,1,102.6573271,"0",36.094071425
"478",1,0,0,171.83838617,"0",36.247963031
"479",0,0,2,213.36302767,"0",34.475301929
"480",0,0,1,341.61057605,"0",27.767299768
"481",0,0,1,211.28441317,"0",33.461402248
"482",1,0,0,197.33839792,"0",39.843087337
"483",0,0,3,90.380409083,"0",36.30952679
"484",0,0,4,87.833333333,"1",NA
"485",0,0,1,134.7,"1",NA
"486",1,1,1,122.60405287,"1",NA
"487",1,0,0,183.1,"1",NA
"488",1,1,0,242.43333333,"1",NA
"489",1,0,0,138.23333333,"1",NA
"490",0,0,1,219.16666667,"0",NA
"491",0,0,0,103.66666667,"0",NA
"492",0,0,0,265.06666667,"0",NA
"493",0,0,1,234.4,"0",NA
"494",1,1,1,146.29617189,"0",NA
"495",0,0,1,229.3,"0",NA
"496",0,0,3,84.733333333,"0",NA
"497",4,0,0,219.13333333,"0",NA
"498",0,7,2,183.63333333,"1",NA
"499",0,3,0,141,"1",NA
"500",0,8,2,86.2,"1",NA
"501",0,0,0,96.366666667,"1",NA
"502",0,0,0,139,"1",NA
"503",0,1,1,205.96666667,"1",NA
"504",0,2,0,340.9,"1",NA
"505",0,1,0,54.833333333,"1",NA
"506",0,0,2,80.152430908,"0",40.561860543
"507",1,1,1,398.8,"1",40.730315337
"508",0,0,0,209.98629953,"0",21.917952264
"509",0,0,1,200.07775507,"0",31.736511786
"510",0,0,0,315.32145267,"0",38.693655802
"511",1,0,2,192.76666667,"1",NA
"512",1,1,4,71,"1",NA
"513",0,0,0,48.854644654,"0",41.302546904
"514",0,0,0,116.10008714,"0",35.601894251
"515",0,0,1,155.2,"0",NA
"516",0,0,1,272.9226847,"0",41.916899529
"517",0,0,9,29.856365166,"0",28.271474159
"518",0,0,0,221.60732419,"0",32.674358967
"519",0,0,0,120.03346455,"0",43.678746661
"520",0,0,7,65.872044812,"0",26.829490191
"521",0,0,0,108.21718977,"0",36.337557557
"522",0,0,0,84.837249966,"0",22.861199646
"523",1,2,11,98.433333333,"1",NA
"524",0,0,9,115.7635338,"1",41.105568833
"525",0,0,1,55.35880309,"0",38.640277109
"526",0,0,0,241.51424984,"0",35.062675655
"527",0,0,0,118.00014232,"0",37.72035861
"528",0,0,0,238.45882498,"0",18.617288691
"529",0,0,0,82.166666667,"0",NA
"530",0,0,1,142,"1",NA
"531",2,0,6,235.36666667,"1",NA
"532",1,0,1,299.75272612,"0",31.880033183
"533",1,0,3,354.23976343,"1",33.624133446
"534",0,0,0,40.182134821,"0",37.941253769
"535",1,0,1,241.05607809,"0",18.510551331
"536",0,0,0,70.193890188,"1",41.250706258
"537",1,1,1,297.9070847,"0",20.099049784
"538",0,0,9,38.003266851,"0",28.295681117
"539",0,0,1,74.066666667,"1",NA
"540",1,0,0,45.966666667,"1",NA
"541",1,1,1,218.53926573,"1",NA
"542",1,1,1,105.74964198,"1",NA
"543",0,0,2,68.033333333,"0",NA
"544",0,0,2,240.05677145,"0",31.724698502
"545",0,0,1,239.62029765,"0",36.727136357
"546",1,0,1,411.95205053,"0",40.39647435
"547",4,0,1,106.37599933,"0",40.051915231
"548",0,0,2,60.424760757,"0",36.812290634
"549",0,0,1,221.3384208,"0",36.009421486
"550",1,1,1,194.84216401,"0",27.201999612
"551",0,0,0,96.133333333,"1",NA
"552",0,0,0,271.91816905,"0",42.930043097
"553",0,0,0,224.84704249,"0",21.057574023
"554",0,0,1,194.37214004,"0",26.646083641
"555",1,1,1,122.60405287,"0",28.161831853
"556",0,0,4,207.76841442,"0",29.937917829
"557",0,0,1,238.58630343,"0",18.421369855
"558",0,0,0,146.29617189,"0",12.219679961
"559",0,0,0,83.34671188,"0",23.397634628
"560",1,0,0,141.96214925,"0",28.300245637
"561",0,0,0,94.782230694,"1",42.803421995
"562",0,0,1,230.42025592,"0",35.415112916
"563",0,0,0,128.83333333,"0",NA
"564",1,0,1,316.94708254,"0",37.908750185
"565",3,0,2,158.26666667,"1",NA
"566",0,0,0,65.57119786,"0",33.865745347
"567",5,0,3,86.233333333,"1",NA
"568",3,0,0,220.62498387,"0",26.711536473
"569",0,0,0,111.43518985,"0",41.773446616
"570",0,1,0,228.03600011,"1",30.162214113
"571",0,0,0,79.411229994,"0",34.397441727
"572",1,1,1,174.32656084,"0",12.391235037
"573",0,1,1,155.39196223,"0",41.600983364
"574",0,0,3,47.832851338,"0",33.075010372
"575",0,0,2,56.750113136,"0",30.538906969
"576",0,0,0,286.9228238,"0",23.06292573
"577",3,0,0,295.86666667,"1",NA
"578",1,1,1,158.9,"1",NA
"579",0,0,0,122.06666667,"1",NA
"580",0,1,0,147.1,"1",NA
"581",0,0,0,136.1,"1",NA
"582",0,0,0,146.93333333,"1",NA
"583",1,0,1,124.13333333,"1",NA
"584",0,0,1,218.53926573,"1",NA
"585",1,0,0,201.5,"1",NA
"586",0,0,2,153.26666667,"1",NA
"587",2,0,1,75.666666667,"1",NA
"588",0,1,1,115.6,"0",NA
"589",0,0,1,185.63333333,"0",NA
"590",0,0,0,178.33466667,"0",NA
"591",3,0,0,177.5,"1",NA
"592",0,0,1,47.7,"1",NA
"593",4,1,1,344.9,"1",NA
"594",3,1,2,126.76666667,"1",NA
"595",1,0,0,157.32842275,"1",NA
"596",6,3,0,234.90075082,"1",24.662276673
"597",0,0,0,227.29208976,"0",24.091770363
"598",0,0,2,60.503625209,"0",39.280512379
"599",0,0,1,243.15711917,"0",23.992353351
"600",5,1,2,299.56666667,"1",NA
"601",0,0,2,87.452870081,"0",37.005967843
"602",1,1,1,1168.2335609,"0",22.655140286
"603",1,0,2,92.941357816,"0",35.672273609
"604",0,0,2,249.63376067,"0",34.882066439
"605",0,0,0,180.16893732,"0",35.583403169
"606",1,0,0,64.660106948,"0",35.051896774
"607",0,0,0,135.64019635,"0",34.777089425
"608",0,0,1,265.02047536,"0",43.300105312
"609",1,1,1,248.48194525,"0",34.880462318
"610",0,0,0,180.41578673,"0",21.72081838
"611",0,0,0,187.19401123,"0",24.217658483
"612",4,0,1,120.7645092,"0",38.132345766
"613",0,0,1,206.96666667,"0",NA
"614",1,1,1,218.53926573,"0",NA
"615",0,0,0,141.26867109,"0",31.68194302
"616",0,0,10,17.460749903,"0",30.233504742
"617",7,0,0,122.06666667,"1",NA
"618",0,0,0,353.19562851,"0",28.544528867
"619",0,0,0,56.609906288,"0",40.499820445
"620",0,0,0,179.24093557,"0",27.23109397
"621",0,0,0,95.366666667,"0",NA
